,DATA,NAME,LABEL
0,DISTPROF,DISTRICT,District Number
1,DISTPROF,DPETDISC,District 2021 DAEP: Count
2,DISTPROF,DPETDISD,District 2021 DAEP: Denominator
3,DISTPROF,DPETDISP,District 2021 DAEP: Percent
4,DISTPROF,DPFEIERP,District 2021 Finance: Instructional Expenditures Ratio
5,DISTPROF,DB0GR21N,District 2021 Graduates: African American Count
6,DISTPROF,DB0GR21R,District 2021 Graduates: African American Student Group %
7,DISTPROF,DA0GR21N,District 2021 Graduates: All Students Count (including FHSP)
8,DISTPROF,DA0GR21R,District 2021 Graduates: All Students Group %
9,DISTPROF,DI0GR21N,District 2021 Graduates: American Indian Count
10,DISTPROF,DI0GR21R,District 2021 Graduates: American Indian Student Group %
11,DISTPROF,D30GR21N,District 2021 Graduates: Asian Count
12,DISTPROF,D30GR21R,District 2021 Graduates: Asian Student Group %
13,DISTPROF,DR0GR21N,District 2021 Graduates: At Risk Count
14,DISTPROF,DR0GR21R,District 2021 Graduates: At Risk Student Group %
15,DISTPROF,DL0GR21N,District 2021 Graduates: EB/EL Count
16,DISTPROF,DL0GR21R,District 2021 Graduates: EB/EL Student Group %
17,DISTPROF,DE0GR21N,District 2021 Graduates: Econ Disadv Count
18,DISTPROF,DE0GR21R,District 2021 Graduates: Econ Disadv Student Group %
19,DISTPROF,DA0GN21P,District 2021 Graduates: FHSP No Endorsement All Students % (Profile Only)
20,DISTPROF,DA0GN21N,District 2021 Graduates: FHSP No Endorsement All Students Count
21,DISTPROF,DA0GA21P,District 2021 Graduates: FHSP-DLA All Students % (Profile Only)
22,DISTPROF,DA0GA21N,District 2021 Graduates: FHSP-DLA All Students Count
23,DISTPROF,DA0GE21P,District 2021 Graduates: FHSP-E All Students % (Profile Only)
24,DISTPROF,DA0GE21N,District 2021 Graduates: FHSP-E All Students Count
25,DISTPROF,DH0GR21N,District 2021 Graduates: Hispanic Count
26,DISTPROF,DH0GR21R,District 2021 Graduates: Hispanic Student Group %
27,DISTPROF,DA0GM21P,District 2021 Graduates: Minimum HS PGM All Students % (Profile Only)
28,DISTPROF,DA0GM21N,District 2021 Graduates: Minimum HS PGM All Students Count
29,DISTPROF,D40GR21N,District 2021 Graduates: Pacific Islander Count
30,DISTPROF,D40GR21R,District 2021 Graduates: Pacific Islander Student Group %
31,DISTPROF,DA0GH21P,District 2021 Graduates: RHSP/DAP All Students % (Profile Only)
32,DISTPROF,DA0GH21N,District 2021 Graduates: RHSP/DAP All Students Count
33,DISTPROF,DS0GR21N,District 2021 Graduates: Special Ed Count
34,DISTPROF,DS0GR21R,District 2021 Graduates: Special Ed Student Group %
35,DISTPROF,D20GR21N,District 2021 Graduates: Two or More Races Count
36,DISTPROF,D20GR21R,District 2021 Graduates: Two or More Races Student Group %
37,DISTPROF,DW0GR21N,District 2021 Graduates: White Count
38,DISTPROF,DW0GR21R,District 2021 Graduates: White Student Group %
39,DISTPROF,DPERRA1R,District 2021 Retention: Regular Ed 01 Rate
40,DISTPROF,DPERRA2R,District 2021 Retention: Regular Ed 02 Rate
41,DISTPROF,DPERRA3R,District 2021 Retention: Regular Ed 03 Rate
42,DISTPROF,DPERRA4R,District 2021 Retention: Regular Ed 04 Rate
43,DISTPROF,DPERRA5R,District 2021 Retention: Regular Ed 05 Rate
44,DISTPROF,DPERRA6R,District 2021 Retention: Regular Ed 06 Rate
45,DISTPROF,DPERRA7R,District 2021 Retention: Regular Ed 07 Rate
46,DISTPROF,DPERRA8R,District 2021 Retention: Regular Ed 08 Rate
47,DISTPROF,DPERRA9R,District 2021 Retention: Regular Ed 09 Rate
48,DISTPROF,DPERRAKR,District 2021 Retention: Regular Ed KG Rate
49,DISTPROF,DPERSA1R,District 2021 Retention: Special Ed 01 Rate
50,DISTPROF,DPERSA2R,District 2021 Retention: Special Ed 02 Rate
51,DISTPROF,DPERSA3R,District 2021 Retention: Special Ed 03 Rate
52,DISTPROF,DPERSA4R,District 2021 Retention: Special Ed 04 Rate
53,DISTPROF,DPERSA5R,District 2021 Retention: Special Ed 05 Rate
54,DISTPROF,DPERSA6R,District 2021 Retention: Special Ed 06 Rate
55,DISTPROF,DPERSA7R,District 2021 Retention: Special Ed 07 Rate
56,DISTPROF,DPERSA8R,District 2021 Retention: Special Ed 08 Rate
57,DISTPROF,DPERSA9R,District 2021 Retention: Special Ed 09 Rate
58,DISTPROF,DPERSAKR,District 2021 Retention: Special Ed KG Rate
59,DISTPROF,DAUND21C,District 2021 Underreported Students: Count
60,DISTPROF,DAUND21D,District 2021 Underreported Students: Gr. 7-12 Total
61,DISTPROF,DAUND21R,District 2021 Underreported Students: Rate
62,DISTPROF,DPCTG01C,District 2022 Class Size: Grade 1     - # Classes
63,DISTPROF,DPCTG01S,District 2022 Class Size: Grade 1     - # Students
64,DISTPROF,DPCTG01A,District 2022 Class Size: Grade 1     - Avg Size
65,DISTPROF,DPCTG02C,District 2022 Class Size: Grade 2     - # Classes
66,DISTPROF,DPCTG02S,District 2022 Class Size: Grade 2     - # Students
67,DISTPROF,DPCTG02A,District 2022 Class Size: Grade 2     - Avg Size
68,DISTPROF,DPCTG03C,District 2022 Class Size: Grade 3     - # Classes
69,DISTPROF,DPCTG03S,District 2022 Class Size: Grade 3     - # Students
70,DISTPROF,DPCTG03A,District 2022 Class Size: Grade 3     - Avg Size
71,DISTPROF,DPCTG04C,District 2022 Class Size: Grade 4     - # Classes
72,DISTPROF,DPCTG04S,District 2022 Class Size: Grade 4     - # Students
73,DISTPROF,DPCTG04A,District 2022 Class Size: Grade 4     - Avg Size
