,District,District Number,TEA District Type,TEA Description,NCES District Type,NCES Description,Charter School (Y/N)
70,BARBERS HILL ISD,36902,D,Other Central City Suburban,41,Rural-Fringe,N
71,BARTLETT ISD,14902,H,Rural,32,Town-Distant,N
72,BASIS TEXAS,15834,I,Charter School Districts,11,City-Large,Y
73,BASTROP ISD,11901,E,Independent Town,42,Rural-Distant,N
74,BAY CITY ISD,158901,E,Independent Town,32,Town-Distant,N
75,BEATRICE MAYES INSTITUTE CHARTER S,101847,I,Charter School Districts,11,City-Large,Y
76,BEAUMONT ISD,123910,C,Other Central City,12,City-Midsize,N
77,BECKVILLE ISD,183901,H,Rural,42,Rural-Distant,N
78,BEEVILLE ISD,13901,E,Independent Town,32,Town-Distant,N
79,BELLEVUE ISD,39904,H,Rural,42,Rural-Distant,N
80,BELLS ISD,91901,H,Rural,42,Rural-Distant,N
81,BELLVILLE ISD,8901,E,Independent Town,32,Town-Distant,N
82,BELTON ISD,14903,D,Other Central City Suburban,23,Suburb-Small,N
83,BEN BOLT-PALITO BLANCO ISD,125902,H,Rural,42,Rural-Distant,N
84,BENAVIDES ISD,66901,H,Rural,43,Rural-Remote,N
85,BENJAMIN ISD,138904,H,Rural,43,Rural-Remote,N
86,BETA ACADEMY,101870,I,Charter School Districts,11,City-Large,Y
87,BETTY M CONDRA SCHOOL FOR EDUCATIO,152806,I,Charter School Districts,11,City-Large,Y
88,BEXAR COUNTY ACADEMY,15809,I,Charter School Districts,11,City-Large,Y
89,BIG SANDY ISD,187901,H,Rural,43,Rural-Remote,N
90,BIG SANDY ISD,230901,H,Rural,42,Rural-Distant,N
91,BIG SPRING ISD,114901,E,Independent Town,32,Town-Distant,N
92,BIG SPRINGS CHARTER SCHOOL,193801,I,Charter School Districts,43,Rural-Remote,Y
93,BIRDVILLE ISD,220902,B,Major Suburban,21,Suburb-Large,N
94,BISHOP CISD,178902,G,Non-metropolitan Stable,32,Town-Distant,N
95,BLACKWELL CISD,177903,H,Rural,43,Rural-Remote,N
96,BLANCO ISD,16902,G,Non-metropolitan Stable,42,Rural-Distant,N
97,BLAND ISD,116915,F,Non-metropolitan Fast Growing,42,Rural-Distant,N
98,BLANKET ISD,25904,H,Rural,42,Rural-Distant,N
99,BLOOM ACADEMY CHARTER SCHOOL,101875,I,Charter School Districts,11,City-Large,Y
100,BLOOMBURG ISD,34909,H,Rural,42,Rural-Distant,N
101,BLOOMING GROVE ISD,175902,D,Other Central City Suburban,42,Rural-Distant,N
102,BLOOMINGTON ISD,235901,H,Rural,42,Rural-Distant,N
103,BLUE RIDGE ISD,43917,F,Non-metropolitan Fast Growing,42,Rural-Distant,N
104,BLUFF DALE ISD,72904,H,Rural,43,Rural-Remote,N
105,BLUM ISD,109913,H,Rural,42,Rural-Distant,N
106,BOB HOPE SCHOOL,123807,I,Charter School Districts,13,City-Small,Y
107,BOERNE ISD,130901,B,Major Suburban,41,Rural-Fringe,N
108,BOLES ISD,116916,H,Rural,41,Rural-Fringe,N
109,BOLING ISD,241901,D,Other Central City Suburban,42,Rural-Distant,N
110,BONHAM ISD,74903,E,Independent Town,32,Town-Distant,N
111,BOOKER ISD,148901,H,Rural,43,Rural-Remote,N
112,BORDEN COUNTY ISD,17901,H,Rural,43,Rural-Remote,N
113,BORGER ISD,117901,G,Non-metropolitan Stable,32,Town-Distant,N
114,BOSQUEVILLE ISD,161923,H,Rural,41,Rural-Fringe,N
115,BOVINA ISD,185901,H,Rural,43,Rural-Remote,N
116,BOWIE ISD,169901,G,Non-metropolitan Stable,33,Town-Remote,N
117,BOYD ISD,249902,G,Non-metropolitan Stable,42,Rural-Distant,N
118,BOYS RANCH ISD,180901,H,Rural,43,Rural-Remote,N
119,BRACKETT ISD,136901,H,Rural,33,Town-Remote,N
120,BRADY ISD,160901,G,Non-metropolitan Stable,41,Rural-Fringe,N
121,BRAZOS ISD,8903,H,Rural,42,Rural-Distant,N
122,BRAZOS RIVER CHARTER SCHOOL,213801,I,Charter School Districts,42,Rural-Distant,Y
123,BRAZOS SCHOOL FOR INQUIRY & CREATI,21803,I,Charter School Districts,11,City-Large,Y
124,BRAZOSPORT ISD,20905,C,Other Central City,23,Suburb-Small,N
125,BRECKENRIDGE ISD,215901,G,Non-metropolitan Stable,33,Town-Remote,N
126,BREMOND ISD,198901,H,Rural,43,Rural-Remote,N
127,BRENHAM ISD,239901,E,Independent Town,32,Town-Distant,N
128,BRIDGE CITY ISD,181901,G,Non-metropolitan Stable,41,Rural-Fringe,N
129,BRIDGEPORT ISD,249903,G,Non-metropolitan Stable,41,Rural-Fringe,N
130,BRIDGEWAY PREPARATORY ACADEMY,57851,I,Charter School Districts,21,Suburb-Large,Y
131,BROADDUS ISD,203902,H,Rural,43,Rural-Remote,N
132,BROCK ISD,184909,D,Other Central City Suburban,42,Rural-Distant,N
133,BRONTE ISD,41901,H,Rural,43,Rural-Remote,N
134,BROOKELAND ISD,121902,H,Rural,43,Rural-Remote,N
135,BROOKESMITH ISD,25908,H,Rural,43,Rural-Remote,N
136,BROOKS ACADEMIES OF TEXAS,15830,I,Charter School Districts,11,City-Large,Y
137,BROOKS COUNTY ISD,24901,D,Other Central City Suburban,33,Town-Remote,N
138,BROWNFIELD ISD,223901,G,Non-metropolitan Stable,32,Town-Distant,N
139,BROWNSBORO ISD,107902,D,Other Central City Suburban,42,Rural-Distant,N
140,BROWNSVILLE ISD,31901,C,Other Central City,12,City-Midsize,N
141,BROWNWOOD ISD,25902,E,Independent Town,33,Town-Remote,N
142,BRUCEVILLE-EDDY ISD,161919,H,Rural,42,Rural-Distant,N
143,BRYAN ISD,21902,C,Other Central City,13,City-Small,N
144,BRYSON ISD,119901,H,Rural,43,Rural-Remote,N
145,BUCKHOLTS ISD,166907,H,Rural,42,Rural-Distant,N
146,BUENA VISTA ISD,186901,H,Rural,43,Rural-Remote,N
147,BUFFALO ISD,145901,G,Non-metropolitan Stable,43,Rural-Remote,N
148,BULLARD ISD,212902,D,Other Central City Suburban,41,Rural-Fringe,N
149,BUNA ISD,121903,G,Non-metropolitan Stable,42,Rural-Distant,N
150,BURKBURNETT ISD,243901,D,Other Central City Suburban,31,Town-Fringe,N
151,BURKEVILLE ISD,176901,H,Rural,43,Rural-Remote,N
152,BURLESON ISD,126902,C,Other Central City,21,Suburb-Large,N
153,BURNET CISD,27903,D,Other Central City Suburban,41,Rural-Fringe,N
154,BURNHAM WOOD CHARTER SCHOOL DISTRI,71801,I,Charter School Districts,11,City-Large,Y
155,BURTON ISD,239903,F,Non-metropolitan Fast Growing,42,Rural-Distant,N
156,BUSHLAND ISD,188904,D,Other Central City Suburban,41,Rural-Fringe,N
157,BYNUM ISD,109902,H,Rural,42,Rural-Distant,N
158,CADDO MILLS ISD,116901,F,Non-metropolitan Fast Growing,42,Rural-Distant,N
159,CALALLEN ISD,178903,G,Non-metropolitan Stable,11,City-Large,N
160,CALDWELL ISD,26901,D,Other Central City Suburban,41,Rural-Fringe,N
161,CALHOUN COUNTY ISD,29901,G,Non-metropolitan Stable,32,Town-Distant,N
162,CALLISBURG ISD,49905,G,Non-metropolitan Stable,42,Rural-Distant,N
163,CALVERT ISD,198902,H,Rural,42,Rural-Distant,N
164,CALVIN NELMS CHARTER SCHOOLS,101837,I,Charter School Districts,21,Suburb-Large,Y
165,CAMERON ISD,166901,E,Independent Town,41,Rural-Fringe,N
166,CAMPBELL ISD,116910,H,Rural,42,Rural-Distant,N
167,CANADIAN ISD,106901,H,Rural,33,Town-Remote,N
168,CANTON ISD,234902,E,Independent Town,32,Town-Distant,N
169,CANUTILLO ISD,71907,B,Major Suburban,11,City-Large,N
170,CANYON ISD,191901,C,Other Central City,12,City-Midsize,N
171,CARLISLE ISD,201913,H,Rural,42,Rural-Distant,N
172,CARRIZO SPRINGS CISD,64903,D,Other Central City Suburban,33,Town-Remote,N
173,CARROLL ISD,220919,B,Major Suburban,21,Suburb-Large,N
174,CARROLLTON-FARMERS BRANCH ISD,57903,B,Major Suburban,21,Suburb-Large,N
175,CARTHAGE ISD,183902,G,Non-metropolitan Stable,32,Town-Distant,N
176,CASTLEBERRY ISD,220917,B,Major Suburban,21,Suburb-Large,N
177,CAYUGA ISD,1902,H,Rural,43,Rural-Remote,N
178,CEDAR HILL ISD,57904,B,Major Suburban,21,Suburb-Large,N
179,CEDARS INTERNATIONAL ACADEMY,227817,I,Charter School Districts,11,City-Large,Y
180,CELESTE ISD,116902,H,Rural,42,Rural-Distant,N
181,CELINA ISD,43903,F,Non-metropolitan Fast Growing,41,Rural-Fringe,N
182,CENTER ISD,210901,G,Non-metropolitan Stable,33,Town-Remote,N
183,CENTER POINT ISD,133901,H,Rural,42,Rural-Distant,N
184,CENTERVILLE ISD,145902,H,Rural,43,Rural-Remote,N
185,CENTERVILLE ISD,228904,H,Rural,43,Rural-Remote,N
186,CENTRAL HEIGHTS ISD,174908,G,Non-metropolitan Stable,41,Rural-Fringe,N
187,CENTRAL ISD,3907,G,Non-metropolitan Stable,41,Rural-Fringe,N
188,CHANNELVIEW ISD,101905,B,Major Suburban,21,Suburb-Large,N
189,CHANNING ISD,103901,H,Rural,43,Rural-Remote,N
190,CHAPARRAL STAR ACADEMY,227814,I,Charter School Districts,21,Suburb-Large,Y
191,CHAPEL HILL ACADEMY,220815,I,Charter School Districts,11,City-Large,Y
192,CHAPEL HILL ISD,212909,D,Other Central City Suburban,41,Rural-Fringe,N
193,CHAPEL HILL ISD,225906,G,Non-metropolitan Stable,42,Rural-Distant,N
194,CHARLOTTE ISD,7901,H,Rural,42,Rural-Distant,N
195,CHEROKEE ISD,206903,H,Rural,43,Rural-Remote,N
196,CHESTER ISD,229906,H,Rural,43,Rural-Remote,N
197,CHICO ISD,249904,H,Rural,42,Rural-Distant,N
198,CHILDRESS ISD,38901,G,Non-metropolitan Stable,33,Town-Remote,N
199,CHILLICOTHE ISD,99902,H,Rural,43,Rural-Remote,N
200,CHILTON ISD,73901,H,Rural,42,Rural-Distant,N
201,CHINA SPRING ISD,161920,D,Other Central City Suburban,41,Rural-Fringe,N
202,CHIRENO ISD,174901,H,Rural,43,Rural-Remote,N
203,CHISUM ISD,139905,G,Non-metropolitan Stable,41,Rural-Fringe,N
204,CHRISTOVAL ISD,226901,H,Rural,42,Rural-Distant,N
205,CISCO ISD,67902,H,Rural,33,Town-Remote,N
206,CITY VIEW ISD,243906,D,Other Central City Suburban,12,City-Midsize,N
207,CITYSCAPE SCHOOLS,57841,I,Charter School Districts,11,City-Large,Y
208,CLARENDON ISD,65901,H,Rural,43,Rural-Remote,N
209,CLARKSVILLE ISD,194904,H,Rural,33,Town-Remote,N
210,CLAUDE ISD,6902,H,Rural,42,Rural-Distant,N
211,CLEAR CREEK ISD,84910,B,Major Suburban,21,Suburb-Large,N
212,CLEBURNE ISD,126903,D,Other Central City Suburban,41,Rural-Fringe,N
213,CLEVELAND ISD,146901,D,Other Central City Suburban,31,Town-Fringe,N
214,CLIFTON ISD,18901,G,Non-metropolitan Stable,32,Town-Distant,N
215,CLINT ISD,71901,B,Major Suburban,21,Suburb-Large,N
216,CLYDE CISD,30902,D,Other Central City Suburban,32,Town-Distant,N
217,COAHOMA ISD,114902,F,Non-metropolitan Fast Growing,42,Rural-Distant,N
218,COLDSPRING-OAKHURST CISD,204901,E,Independent Town,42,Rural-Distant,N
219,COLEMAN ISD,42901,H,Rural,33,Town-Remote,N
220,COLLEGE STATION ISD,21901,C,Other Central City,12,City-Midsize,N
221,COLLINSVILLE ISD,91902,H,Rural,42,Rural-Distant,N
222,COLMESNEIL ISD,229901,F,Non-metropolitan Fast Growing,42,Rural-Distant,N
223,COLORADO ISD,168901,G,Non-metropolitan Stable,41,Rural-Fringe,N
224,COLUMBIA-BRAZORIA ISD,20907,D,Other Central City Suburban,32,Town-Distant,N
225,COLUMBUS ISD,45902,G,Non-metropolitan Stable,33,Town-Remote,N
226,COMAL ISD,46902,B,Major Suburban,41,Rural-Fringe,N
227,COMANCHE ISD,47901,G,Non-metropolitan Stable,41,Rural-Fringe,N
228,COMFORT ISD,130902,E,Independent Town,32,Town-Distant,N
229,COMMERCE ISD,116903,G,Non-metropolitan Stable,41,Rural-Fringe,N
230,COMMUNITY ISD,43918,D,Other Central City Suburban,41,Rural-Fringe,N
231,COMO-PICKTON CISD,112908,H,Rural,42,Rural-Distant,N
232,COMPASS ACADEMY CHARTER SCHOOL,68802,I,Charter School Districts,12,City-Midsize,Y
233,COMPASS ROSE ACADEMY,15838,I,Charter School Districts,11,City-Large,Y
234,COMQUEST ACADEMY,101842,I,Charter School Districts,21,Suburb-Large,Y
235,COMSTOCK ISD,233903,H,Rural,43,Rural-Remote,N
236,CONNALLY ISD,161921,D,Other Central City Suburban,22,Suburb-Midsize,N
237,CONROE ISD,170902,C,Other Central City,13,City-Small,N
238,COOLIDGE ISD,147901,H,Rural,42,Rural-Distant,N
239,COOPER ISD,60902,H,Rural,43,Rural-Remote,N
240,COPPELL ISD,57922,B,Major Suburban,21,Suburb-Large,N
241,COPPERAS COVE ISD,50910,D,Other Central City Suburban,22,Suburb-Midsize,N
242,CORPUS CHRISTI ISD,178904,C,Other Central City,11,City-Large,N
243,CORPUS CHRISTI MONTESSORI SCHOOL,178807,I,Charter School Districts,11,City-Large,Y
244,CORRIGAN-CAMDEN ISD,187904,H,Rural,43,Rural-Remote,N
245,CORSICANA ISD,175903,D,Other Central City Suburban,32,Town-Distant,N
246,COTTON CENTER ISD,95902,H,Rural,42,Rural-Distant,N
247,COTULLA ISD,142901,D,Other Central City Suburban,33,Town-Remote,N
248,COUPLAND ISD,246914,H,Rural,42,Rural-Distant,N
249,COVINGTON ISD,109903,H,Rural,42,Rural-Distant,N
250,CRANDALL ISD,129901,B,Major Suburban,41,Rural-Fringe,N
251,CRANE ISD,52901,D,Other Central City Suburban,32,Town-Distant,N
252,CRANFILLS GAP ISD,18908,H,Rural,43,Rural-Remote,N
253,CRAWFORD ISD,161901,H,Rural,42,Rural-Distant,N
254,CROCKETT COUNTY CONSOLIDATED CSD,53001,H,Rural,33,Town-Remote,N
255,CROCKETT ISD,113901,G,Non-metropolitan Stable,33,Town-Remote,N
256,CROSBY ISD,101906,B,Major Suburban,41,Rural-Fringe,N
257,CROSBYTON CISD,54901,H,Rural,43,Rural-Remote,N
258,CROSS PLAINS ISD,30901,H,Rural,43,Rural-Remote,N
259,CROSS ROADS ISD,107904,H,Rural,42,Rural-Distant,N
260,CROSSTIMBERS ACADEMY,184801,I,Charter School Districts,41,Rural-Fringe,Y
261,CROWELL ISD,78901,H,Rural,43,Rural-Remote,N
262,CROWLEY ISD,220912,B,Major Suburban,11,City-Large,N
263,CRYSTAL CITY ISD,254901,G,Non-metropolitan Stable,33,Town-Remote,N
264,CUERO ISD,62901,G,Non-metropolitan Stable,32,Town-Distant,N
265,CULBERSON COUNTY-ALLAMOORE ISD,55901,H,Rural,43,Rural-Remote,N
266,CUMBERLAND ACADEMY,212801,I,Charter School Districts,12,City-Midsize,Y
267,CUMBY ISD,112905,H,Rural,42,Rural-Distant,N
268,CUSHING ISD,174902,H,Rural,43,Rural-Remote,N
269,CYPRESS-FAIRBANKS ISD,101907,B,Major Suburban,21,Suburb-Large,N
270,D'HANIS ISD,163902,H,Rural,42,Rural-Distant,N
271,DAINGERFIELD-LONE STAR ISD,172902,G,Non-metropolitan Stable,32,Town-Distant,N
272,DALHART ISD,56901,G,Non-metropolitan Stable,41,Rural-Fringe,N
273,DALLAS ISD,57905,A,Major Urban,11,City-Large,N
274,DAMON ISD,20910,H,Rural,42,Rural-Distant,N
275,DANBURY ISD,20904,H,Rural,41,Rural-Fringe,N
276,DARROUZETT ISD,148905,H,Rural,43,Rural-Remote,N
277,DAWSON ISD,58902,H,Rural,43,Rural-Remote,N
278,DAWSON ISD,175904,F,Non-metropolitan Fast Growing,43,Rural-Remote,N
279,DAYTON ISD,146902,E,Independent Town,32,Town-Distant,N
280,DE LEON ISD,47902,H,Rural,43,Rural-Remote,N
281,DECATUR ISD,249905,E,Independent Town,32,Town-Distant,N
282,DEER PARK ISD,101908,B,Major Suburban,21,Suburb-Large,N
283,DEKALB ISD,19901,H,Rural,42,Rural-Distant,N
284,DEL VALLE ISD,227910,B,Major Suburban,41,Rural-Fringe,N
285,DELL CITY ISD,115903,H,Rural,43,Rural-Remote,N
286,DENISON ISD,91903,D,Other Central City Suburban,13,City-Small,N
287,DENTON ISD,61901,C,Other Central City,12,City-Midsize,N
288,DENVER CITY ISD,251901,G,Non-metropolitan Stable,33,Town-Remote,N
289,DESOTO ISD,57906,B,Major Suburban,21,Suburb-Large,N
290,DETROIT ISD,194905,H,Rural,43,Rural-Remote,N
291,DEVERS ISD,146903,H,Rural,42,Rural-Distant,N
292,DEVINE ISD,163901,E,Independent Town,41,Rural-Fringe,N
293,DEW ISD,81906,H,Rural,42,Rural-Distant,N
294,DEWEYVILLE ISD,176903,H,Rural,42,Rural-Distant,N
295,DIBOLL ISD,3905,G,Non-metropolitan Stable,33,Town-Remote,N
296,DICKINSON ISD,84901,C,Other Central City,22,Suburb-Midsize,N
297,DILLEY ISD,82902,G,Non-metropolitan Stable,41,Rural-Fringe,N
298,DIME BOX ISD,144903,H,Rural,43,Rural-Remote,N
299,DIMMITT ISD,35901,D,Other Central City Suburban,33,Town-Remote,N
300,DIVIDE ISD,133905,H,Rural,43,Rural-Remote,N
301,DODD CITY ISD,74904,H,Rural,42,Rural-Distant,N
302,DONNA ISD,108902,D,Other Central City Suburban,21,Suburb-Large,N
303,DOSS CONSOLIDATED CSD,86024,H,Rural,43,Rural-Remote,N
304,DOUGLASS ISD,174911,H,Rural,43,Rural-Remote,N
305,DR M L GARZA-GONZALEZ CHARTER SCHO,178801,I,Charter School Districts,11,City-Large,Y
306,DRAW ACADEMY,101856,I,Charter School Districts,11,City-Large,Y
307,DRIPPING SPRINGS ISD,105904,B,Major Suburban,42,Rural-Distant,N
308,DRISCOLL ISD,178905,H,Rural,42,Rural-Distant,N
309,DUBLIN ISD,72902,G,Non-metropolitan Stable,41,Rural-Fringe,N
310,DUMAS ISD,171901,G,Non-metropolitan Stable,33,Town-Remote,N
311,DUNCANVILLE ISD,57907,B,Major Suburban,21,Suburb-Large,N
312,EAGLE MT-SAGINAW ISD,220918,B,Major Suburban,11,City-Large,N
313,EAGLE PASS ISD,159901,D,Other Central City Suburban,33,Town-Remote,N
314,EANES ISD,227909,B,Major Suburban,21,Suburb-Large,N
315,EARLY ISD,25909,G,Non-metropolitan Stable,33,Town-Remote,N
316,EAST BERNARD ISD,241902,D,Other Central City Suburban,42,Rural-Distant,N
317,EAST CENTRAL ISD,15911,B,Major Suburban,41,Rural-Fringe,N
318,EAST CHAMBERS ISD,36903,E,Independent Town,32,Town-Distant,N
319,EAST FORT WORTH MONTESSORI ACADEMY,220811,I,Charter School Districts,11,City-Large,Y
320,EAST TEXAS CHARTER SCHOOLS,92801,I,Charter School Districts,13,City-Small,Y
321,EASTLAND ISD,67903,G,Non-metropolitan Stable,33,Town-Remote,N
322,ECTOR COUNTY ISD,68901,C,Other Central City,12,City-Midsize,N
323,ECTOR ISD,74905,H,Rural,41,Rural-Fringe,N
324,EDCOUCH-ELSA ISD,108903,D,Other Central City Suburban,21,Suburb-Large,N
325,EDEN CISD,48901,H,Rural,43,Rural-Remote,N
326,EDGEWOOD ISD,15905,B,Major Suburban,11,City-Large,N
327,EDGEWOOD ISD,234903,G,Non-metropolitan Stable,42,Rural-Distant,N
328,EDINBURG CISD,108904,C,Other Central City,13,City-Small,N
329,EDNA ISD,120901,G,Non-metropolitan Stable,32,Town-Distant,N
330,EDUCATION CENTER INTERNATIONAL ACA,57833,I,Charter School Districts,21,Suburb-Large,Y
331,EHRHART SCHOOL,123805,I,Charter School Districts,12,City-Midsize,Y
332,EL CAMPO ISD,241903,E,Independent Town,32,Town-Distant,N
333,EL PASO ACADEMY,71804,I,Charter School Districts,11,City-Large,Y
334,EL PASO ISD,71902,A,Major Urban,11,City-Large,N
335,EL PASO LEADERSHIP ACADEMY,71810,I,Charter School Districts,11,City-Large,Y
336,ELEANOR KOLITZ HEBREW LANGUAGE ACA,15836,I,Charter School Districts,11,City-Large,Y
337,ELECTRA ISD,243902,H,Rural,32,Town-Distant,N
338,ELEVATE COLLEGIATE CHARTER SCHOOL,101877,,,11,City-Large,Y
339,ELGIN ISD,11902,G,Non-metropolitan Stable,41,Rural-Fringe,N
340,ELKHART ISD,1903,G,Non-metropolitan Stable,42,Rural-Distant,N
341,ELYSIAN FIELDS ISD,102906,H,Rural,42,Rural-Distant,N
342,ENNIS ISD,70903,D,Other Central City Suburban,41,Rural-Fringe,N
343,ERA ISD,49906,H,Rural,42,Rural-Distant,N
344,ERATH EXCELS ACADEMY INC,72802,I,Charter School Districts,41,Rural-Fringe,Y
345,ETOILE ACADEMY CHARTER SCHOOL,101872,I,Charter School Districts,11,City-Large,Y
346,ETOILE ISD,174910,H,Rural,43,Rural-Remote,N
347,EULA ISD,30906,H,Rural,42,Rural-Distant,N
348,EUSTACE ISD,107905,G,Non-metropolitan Stable,42,Rural-Distant,N
349,EVADALE ISD,121906,H,Rural,42,Rural-Distant,N
350,EVANT ISD,50901,H,Rural,43,Rural-Remote,N
351,EVERMAN ISD,220904,B,Major Suburban,21,Suburb-Large,N
352,EVOLUTION ACADEMY CHARTER SCHOOL,57834,I,Charter School Districts,12,City-Midsize,Y
353,EXCEL ACADEMY,101811,I,Charter School Districts,11,City-Large,Y
354,EXCELLENCE IN LEADERSHIP ACADEMY,108809,I,Charter School Districts,13,City-Small,Y
355,EXCELSIOR ISD,210906,H,Rural,43,Rural-Remote,N
356,EZZELL ISD,143906,H,Rural,43,Rural-Remote,N
357,FABENS ISD,71903,G,Non-metropolitan Stable,31,Town-Fringe,N
358,FAIRFIELD ISD,81902,G,Non-metropolitan Stable,33,Town-Remote,N
359,FALLS CITY ISD,128904,H,Rural,42,Rural-Distant,N
360,FANNINDEL ISD,60914,H,Rural,43,Rural-Remote,N
361,FARMERSVILLE ISD,43904,G,Non-metropolitan Stable,31,Town-Fringe,N
362,FARWELL ISD,185902,H,Rural,42,Rural-Distant,N
363,FAYETTEVILLE ISD,75906,H,Rural,43,Rural-Remote,N
364,FERRIS ISD,70905,B,Major Suburban,41,Rural-Fringe,N
365,FLATONIA ISD,75901,H,Rural,43,Rural-Remote,N
