,DATA,NAME,LABEL
0,DISTPROF,DISTRICT,District Number
1,DISTPROF,DPETDISC,District 2019 DAEP: Count
2,DISTPROF,DPETDISD,District 2019 DAEP: Denominator
3,DISTPROF,DPETDISP,District 2019 DAEP: Percent
4,DISTPROF,DPFEIERP,District 2019 Finance: Instructional Expenditures Ratio
5,DISTPROF,DB0GR19N,District 2019 Graduates: African American Count
6,DISTPROF,DB0GR19R,District 2019 Graduates: African American Student Group %
7,DISTPROF,DA0GR19N,District 2019 Graduates: All Students Count (including FHSP)
8,DISTPROF,DA0GR19R,District 2019 Graduates: All Students Group %
9,DISTPROF,DI0GR19N,District 2019 Graduates: American Indian Count
10,DISTPROF,DI0GR19R,District 2019 Graduates: American Indian Student Group %
11,DISTPROF,D30GR19N,District 2019 Graduates: Asian Count
12,DISTPROF,D30GR19R,District 2019 Graduates: Asian Student Group %
13,DISTPROF,DR0GR19N,District 2019 Graduates: At Risk Count
14,DISTPROF,DR0GR19R,District 2019 Graduates: At Risk Student Group %
15,DISTPROF,DL0GR19N,District 2019 Graduates: EL Count
16,DISTPROF,DL0GR19R,District 2019 Graduates: EL Student Group %
17,DISTPROF,DE0GR19N,District 2019 Graduates: Econ Disadv Count
18,DISTPROF,DE0GR19R,District 2019 Graduates: Econ Disadv Student Group %
19,DISTPROF,DA0GN19P,District 2019 Graduates: FHSP No Endorsement All Students % (Profile Only)
20,DISTPROF,DA0GN19N,District 2019 Graduates: FHSP No Endorsement All Students Count
21,DISTPROF,DA0GA19P,District 2019 Graduates: FHSP-DLA All Students % (Profile Only)
22,DISTPROF,DA0GA19N,District 2019 Graduates: FHSP-DLA All Students Count
23,DISTPROF,DA0GE19P,District 2019 Graduates: FHSP-E All Students % (Profile Only)
24,DISTPROF,DA0GE19N,District 2019 Graduates: FHSP-E All Students Count
25,DISTPROF,DH0GR19N,District 2019 Graduates: Hispanic Count
26,DISTPROF,DH0GR19R,District 2019 Graduates: Hispanic Student Group %
27,DISTPROF,DA0GM19P,District 2019 Graduates: Minimum HS PGM All Students % (Profile Only)
28,DISTPROF,DA0GM19N,District 2019 Graduates: Minimum HS PGM All Students Count
29,DISTPROF,D40GR19N,District 2019 Graduates: Pacific Islander Count
30,DISTPROF,D40GR19R,District 2019 Graduates: Pacific Islander Student Group %
31,DISTPROF,DA0GH19P,District 2019 Graduates: RHSP/DAP All Students % (Profile Only)
32,DISTPROF,DA0GH19N,District 2019 Graduates: RHSP/DAP All Students Count
33,DISTPROF,DS0GR19N,District 2019 Graduates: Special Ed Count
34,DISTPROF,DS0GR19R,District 2019 Graduates: Special Ed Student Group %
35,DISTPROF,D20GR19N,District 2019 Graduates: Two or More Races Count
36,DISTPROF,D20GR19R,District 2019 Graduates: Two or More Races Student Group %
37,DISTPROF,DW0GR19N,District 2019 Graduates: White Count
38,DISTPROF,DW0GR19R,District 2019 Graduates: White Student Group %
39,DISTPROF,DPERRA1R,District 2019 Retention: Regular Ed 01 Rate
40,DISTPROF,DPERRA2R,District 2019 Retention: Regular Ed 02 Rate
41,DISTPROF,DPERRA3R,District 2019 Retention: Regular Ed 03 Rate
42,DISTPROF,DPERRA4R,District 2019 Retention: Regular Ed 04 Rate
43,DISTPROF,DPERRA5R,District 2019 Retention: Regular Ed 05 Rate
44,DISTPROF,DPERRA6R,District 2019 Retention: Regular Ed 06 Rate
45,DISTPROF,DPERRA7R,District 2019 Retention: Regular Ed 07 Rate
46,DISTPROF,DPERRA8R,District 2019 Retention: Regular Ed 08 Rate
47,DISTPROF,DPERRA9R,District 2019 Retention: Regular Ed 09 Rate
48,DISTPROF,DPERRAKR,District 2019 Retention: Regular Ed KG Rate
49,DISTPROF,DPERSA1R,District 2019 Retention: Special Ed 01 Rate
50,DISTPROF,DPERSA2R,District 2019 Retention: Special Ed 02 Rate
51,DISTPROF,DPERSA3R,District 2019 Retention: Special Ed 03 Rate
52,DISTPROF,DPERSA4R,District 2019 Retention: Special Ed 04 Rate
53,DISTPROF,DPERSA5R,District 2019 Retention: Special Ed 05 Rate
54,DISTPROF,DPERSA6R,District 2019 Retention: Special Ed 06 Rate
55,DISTPROF,DPERSA7R,District 2019 Retention: Special Ed 07 Rate
56,DISTPROF,DPERSA8R,District 2019 Retention: Special Ed 08 Rate
57,DISTPROF,DPERSA9R,District 2019 Retention: Special Ed 09 Rate
58,DISTPROF,DPERSAKR,District 2019 Retention: Special Ed KG Rate
59,DISTPROF,DAUND19C,District 2019 Underreported Students: Count
60,DISTPROF,DAUND19D,District 2019 Underreported Students: Gr. 7-12 Total
61,DISTPROF,DAUND19R,District 2019 Underreported Students: Rate
62,DISTPROF,DPCTG01C,District 2020 Class Size: Grade 1     - # Classes
63,DISTPROF,DPCTG01S,District 2020 Class Size: Grade 1     - # Students
64,DISTPROF,DPCTG01A,District 2020 Class Size: Grade 1     - Avg Size
65,DISTPROF,DPCTG02C,District 2020 Class Size: Grade 2     - # Classes
66,DISTPROF,DPCTG02S,District 2020 Class Size: Grade 2     - # Students
67,DISTPROF,DPCTG02A,District 2020 Class Size: Grade 2     - Avg Size
68,DISTPROF,DPCTG03C,District 2020 Class Size: Grade 3     - # Classes
69,DISTPROF,DPCTG03S,District 2020 Class Size: Grade 3     - # Students
70,DISTPROF,DPCTG03A,District 2020 Class Size: Grade 3     - Avg Size
71,DISTPROF,DPCTG04C,District 2020 Class Size: Grade 4     - # Classes
72,DISTPROF,DPCTG04S,District 2020 Class Size: Grade 4     - # Students
73,DISTPROF,DPCTG04A,District 2020 Class Size: Grade 4     - Avg Size
74,DISTPROF,DPCTG05C,District 2020 Class Size: Grade 5     - # Classes
75,DISTPROF,DPCTG05S,District 2020 Class Size: Grade 5     - # Students
76,DISTPROF,DPCTG05A,District 2020 Class Size: Grade 5     - Avg Size
77,DISTPROF,DPCTG06C,District 2020 Class Size: Grade 6     - # Classes
78,DISTPROF,DPCTG06S,District 2020 Class Size: Grade 6     - # Students
79,DISTPROF,DPCTG06A,District 2020 Class Size: Grade 6     - Avg Size
80,DISTPROF,DPCTGKGC,District 2020 Class Size: Kindergarten- # Classes
81,DISTPROF,DPCTGKGS,District 2020 Class Size: Kindergarten- # Students
82,DISTPROF,DPCTGKGA,District 2020 Class Size: Kindergarten- Avg Size
83,DISTPROF,DPCTGMEC,District 2020 Class Size: Mixed Elem. - # Classes
84,DISTPROF,DPCTGMES,District 2020 Class Size: Mixed Elem. - # Students
